('VGA_CONTROL', '0x41000', '')
('VGA_DEBUG', '0x41004', '')
('FUSE_STATUS', '0x42000', '')
('RM_TIMEOUT', '0x42060', '')
('CHICKEN_MISC_1', '0x42080', '')
('CHICKEN_MISC_2', '0x42084', '')
('CHICKEN_MISC_3', '0x42088', '')
('CHICKEN_MISC_4', '0x4208C', '')
('CHICKEN_MISC_5', '0x42090', '')
('RMTIMEOUTREG_CAPTURE', '0x420E0', '')
('PORT_ACK_TIMEOUT', '0x420F0', '')
('FPGA_DBG', '0x42300', '')
('FBC_CTL_A', '0x43208', '')
('FBC_CTL_B', '0x43248', '')
('FBC_STATUS2_A', '0x43214', '')
('FBC_STATUS2_B', '0x43254', '')
('FBC_CHICKEN_A', '0x43224', '')
('FBC_CHICKEN_B', '0x43264', '')
('FBC_STRIDE_A', '0x43228', '')
('FBC_STRIDE_B', '0x43268', '')
('DE_RRMR_DW1', '0x44048', '')
('DE_RRMR_DW2', '0x4404C', '')
('DE_RRMR', '0x44050', '')
('TIMESTAMP_OVERRIDE', '0x44074', '')
('DISPLAY_INT_CTL', '0x44200', '')
('DISPLAY_ERR_FATAL_MASK', '0x4421C', '')
('DBUF_CTL_S2', '0x44300', '')
('DBUF_CTL_S3', '0x44304', '')
('DBUF_CTL_S1', '0x44FE8', '')
('DBUF_CTL_S0', '0x45008', '')
('MBUS_CTL', '0x4438C', '')
('MBUS_BBOX_CTL_S2', '0x44390', '')
('MBUS_BBOX_CTL_S3', '0x44394', '')
('MBUS_BBOX_CTL_S0', '0x45040', '')
('MBUS_BBOX_CTL_S1', '0x45044', '')
('DE_PORT_INTERRUPT_0', '0x44440', '')
('DE_PORT_INTERRUPT_1', '0x44444', '')
('DE_PORT_INTERRUPT_2', '0x44448', '')
('DE_PORT_INTERRUPT_3', '0x4444C', '')
('DE_MISC_INTERRUPT_0', '0x44460', '')
('DE_MISC_INTERRUPT_1', '0x44464', '')
('DE_MISC_INTERRUPT_2', '0x44468', '')
('DE_MISC_INTERRUPT_3', '0x4446C', '')
('PCU_INTERRUPT_0', '0x444E0', '')
('PCU_INTERRUPT_1', '0x444E4', '')
('PCU_INTERRUPT_2', '0x444E8', '')
('PCU_INTERRUPT_3', '0x444EC', '')
('GU_MISC_INTERRUPT_0', '0x444F0', '')
('GU_MISC_INTERRUPT_1', '0x444F4', '')
('GU_MISC_INTERRUPT_2', '0x444F8', '')
('GU_MISC_INTERRUPT_3', '0x444FC', '')
('MBUS_ABOX_CTL0', '0x45038', '')
('MBUS_ABOX_CTL1', '0x45048', '')
('BW_BUDDY_CTL0', '0x45130', '')
('BW_BUDDY_CTL1', '0x45140', '')
('BW_BUDDY_PAGE_MASK0', '0x45134', '')
('BW_BUDDY_PAGE_MASK1', '0x45144', '')
('WM_MISC', '0x45260', '')
('WM_LINETIME_A', '0x45270', '')
('WM_LINETIME_B', '0x45274', '')
('WM_LINETIME_C', '0x45278', '')
('WM_LINETIME_D', '0x4527C', '')
('WM_DBG', '0x45280', '')
('PM_REQ_DBG_', '0x45284', '')
('PM_RSP_DBG_', '0x4528C', '')
('PM_FILL_VBI_A', '0x45300', '')
('PM_FILL_VBI_B', '0x45304', '')
('PM_FILL_VBI_C', '0x45308', '')
('PM_FILL_VBI_D', '0x45320', '')
('PWR_WELL_CTL1', '0x45400', '')
('PWR_WELL_CTL2', '0x45404', '')
('PWR_WELL_CTL4', '0x4540C', '')
('PWR_WELL_CTL_KVM', '0x45408', '')
('PWR_WELL_DBG2', '0x45424', '')
('DC_STATE_SEL', '0x45500', '')
('DC_STATE_EN', '0x45504', '')
('DC_STATE_DEBUG', '0x45520', '')
('CDCLK_CTL', '0x46000', '')
('CDCLK_SQUASH_CTL', '0x46008', '')
('CDCLK_PLL_ENABLE', '0x46070', '')
('TRANS_CLK_SEL_A', '0x46140', '')
('TRANS_CLK_SEL_B', '0x46144', '')
('TRANS_CLK_SEL_C', '0x46148', '')
('TRANS_CLK_SEL_D', '0x4614C', '')
('NDE_RSTWRN_OPT', '0x46408', '')
('CHICKEN_DCPR_1', '0x46430', '')
('CHICKEN_DCPR_2', '0x46434', '')
('CHICKEN_DCPR_3', '0x46438', '')
('DCPR_STATUS_1', '0x46440', '')
('CLKGATE_DIS_0', '0x46530', '')
('CLKGATE_DIS_3', '0x46538', '')
('CLKGATE_DIS_4', '0x4653C', '')
('CLKGATE_DIS_5', '0x46540', '')
('UTIL_PIN_CTL', '0x48400', '')
('UTIL_PIN_BUF_CTL', '0x48404', '')
('UTIL2_PIN_CTL', '0x48408', '')
('UTIL2_PIN_BUF_CTL', '0x4840C', '')
('AUDIO_PIN_BUF_CTL', '0x48414', '')
('CSC_COEFF_A', '0x49010', '')
('CSC_COEFF_B', '0x49110', '')
('CSC_COEFF_C', '0x49210', '')
('CSC_COEFF_D', '0x49310', '')
('CSC_MODE_A', '0x49028', '')
('CSC_MODE_B', '0x49128', '')
('CSC_MODE_C', '0x49228', '')
('CSC_MODE_D', '0x49328', '')
('CSC_PREOFF_A', '0x49030', '')
('CSC_PREOFF_B', '0x49130', '')
('CSC_PREOFF_C', '0x49230', '')
('CSC_PREOFF_D', '0x49330', '')
('CSC_POSTOFF_A', '0x49040', '')
('CSC_POSTOFF_B', '0x49140', '')
('CSC_POSTOFF_C', '0x49240', '')
('CSC_POSTOFF_D', '0x49340', '')
('OUTPUT_CSC_COEFF_A', '0x49050', '')
