('DE_PIPE_INTERRUPT_A_0', '0x44400', '')
('DE_PIPE_INTERRUPT_A_1', '0x44404', '')
('DE_PIPE_INTERRUPT_A_2', '0x44408', '')
('DE_PIPE_INTERRUPT_A_3', '0x4440C', '')
('DE_PIPE_INTERRUPT_B_0', '0x44410', '')
('DE_PIPE_INTERRUPT_B_1', '0x44414', '')
('DE_PIPE_INTERRUPT_B_2', '0x44418', '')
('DE_PIPE_INTERRUPT_B_3', '0x4441C', '')
('DE_PIPE_INTERRUPT_C_0', '0x44420', '')
('DE_PIPE_INTERRUPT_C_1', '0x44424', '')
('DE_PIPE_INTERRUPT_C_2', '0x44428', '')
('DE_PIPE_INTERRUPT_C_3', '0x4442C', '')
('DE_PIPE_INTERRUPT_D_0', '0x44430', '')
('DE_PIPE_INTERRUPT_D_1', '0x44434', '')
('DE_PIPE_INTERRUPT_D_2', '0x44438', '')
('DE_PIPE_INTERRUPT_D_3', '0x4443C', '')
('CHICKEN_PIPESL_A', '0x420B0', '')
('CHICKEN_PIPESL_B', '0x420B4', '')
('CHICKEN_PIPESL_C', '0x420B8', '')
('CHICKEN_PIPESL_D', '0x420BC', '')
('CHICKEN_TRANS_A', '0x420C0', '')
('CHICKEN_TRANS_B', '0x420C4', '')
('CHICKEN_TRANS_C', '0x420C8', '')
('CHICKEN_TRANS_D', '0x420D8', '')
('TBT_HOTPLUG_CTL', '0x44030', '')
('TC_HOTPLUG_CTL', '0x44038', '')
('DE_HPD_INTERRUPT_0', '0x44470', '')
('DE_HPD_INTERRUPT_1', '0x44474', '')
('DE_HPD_INTERRUPT_2', '0x44478', '')
('DE_HPD_INTERRUPT_3', '0x4447C', '')
('HDPORT_STATE', '0x45050', '')
('DBUF_CTL2_S2', '0x44308', '')
('DBUF_CTL2_S3', '0x4430C', '')
('DBUF_CTL2_S1', '0x44FE4', '')
('DBUF_CTL2_S0', '0x44FFC', '')
('PIPEDMC_CONTROL_A', '0x45250', '')
('PIPEDMC_CONTROL_B', '0x45254', '')
('PIPEDMC_CONTROL_C', '0x45258', '')
('PIPEDMC_CONTROL_D', '0x4525C', '')
('PWR_WELL_CTL_AUX1', '0x45440', '')
('PWR_WELL_CTL_AUX2', '0x45444', '')
